feature,importance
RDKit_2023,0.0015385888877384212
RDKit_922,0.0015362644425838921
RDKit_1295,0.001534166280457665
ECFP4_980,0.001519802272613583
RDKit_1299,0.0015135513790545355
RDKit_2031,0.001511960969023754
RDKit_1809,0.0015087058260159379
RDKit_185,0.0015076202053269342
RDKit_45,0.001504964354065094
RDKit_534,0.0014903332796218118
ECFP4_1445,0.0014862247801711095
RDKit_917,0.0014850502412760086
RDKit_107,0.0014675143305564037
RDKit_1544,0.0014649777335612889
RDKit_415,0.0014487871591954563
RDKit_148,0.0014443304152380954
RDKit_1678,0.0014387621944230444
RDKit_404,0.0014379686037025894
RDKit_435,0.0014374189613523495
RDKit_1557,0.0014341209936590818
RDKit_504,0.0013721606238784208
RDKit_1507,0.001366582490127157
RDKit_1620,0.0013656765390033664
RDKit_1894,0.0013551267019572
RDKit_1281,0.0013531184966628488
ECFP4_739,0.0013526419042052603
RDKit_1147,0.0013437417392699416
RDKit_1393,0.001333456526871266
RDKit_75,0.0013322773405548042
RDKit_1860,0.0013034083044427954
RDKit_1567,0.001298372627176936
RDKit_89,0.0012953648028383594
RDKit_467,0.0012943587597373353
RDKit_508,0.001292106035132324
RDKit_1457,0.001288078076280258
RDKit_2027,0.0012758145682042065
RDKit_1319,0.001246656965072589
RDKit_1070,0.0012446448028076513
RDKit_1340,0.0012385371779137122
RDKit_533,0.0012381902505908045
RDKit_1807,0.0012184472042035045
RDKit_1106,0.001214881588919187
RDKit_419,0.0012096925343890088
RDKit_1258,0.001205852491275642
RDKit_1410,0.0011973996422122892
RDKit_1584,0.0011880771111134022
RDKit_636,0.0011793578052337506
RDKit_1249,0.0011715322570697811
ECFP4_314,0.001169546086606396
RDKit_1022,0.0011594911328409836
RDKit_1112,0.0011334764240786186
RDKit_856,0.001133204270829976
RDKit_2030,0.0011199368321038491
RDKit_447,0.001117751216556965
RDKit_805,0.001113193568388817
ECFP4_1155,0.0011112138846816524
ECFP4_887,0.0011045088586878998
RDKit_1914,0.0011033902839113596
RDKit_46,0.00110274188370545
RDKit_725,0.0011006934793514583
RDKit_1178,0.0010861526490440435
RDKit_735,0.0010851011850146809
RDKit_736,0.0010765885734436008
RDKit_1399,0.0010717742072892961
RDKit_529,0.0010642737209444254
RDKit_1781,0.001044135146626272
RDKit_200,0.0010372162794357812
RDKit_490,0.001018547684153322
RDKit_815,0.0010155359892435477
RDKit_1283,0.0010087903173077845
RDKit_1194,0.0009782642126985484
RDKit_1406,0.0009774814434831793
RDKit_564,0.0009517145429499615
RDKit_151,0.0009313804725105358
RDKit_1497,0.0009311097185297888
ECFP4_1928,0.0009190867077333159
ECFP4_1609,0.0009183645033693758
MACCS_42,0.000913686423334533
RDKit_743,0.0009086108205620695
RDKit_695,0.0008960038776733173
RDKit_1139,0.0008930846256328419
RDKit_1564,0.000891556555119681
RDKit_579,0.0008861288381175189
RDKit_1514,0.0008854605716233497
RDKit_567,0.0008840224255989369
RDKit_1475,0.0008825525278704845
RDKit_754,0.0008741887562550896
RDKit_303,0.0008737613489512696
RDKit_758,0.0008726349194154952
RDKit_1476,0.0008685328093702922
RDKit_548,0.000865547580387403
RDKit_1403,0.0008583025283669911
RDKit_300,0.0008535341247602243
RDKit_398,0.0008424210083273762
RDKit_1447,0.0008399302220581304
RDKit_2003,0.0008380594010022639
MACCS_36,0.000835983795247889
RDKit_1811,0.0008183131594668585
MACCS_104,0.0008113276583549303
RDKit_1841,0.000807059056305121
RDKit_1288,0.0007961588961814362
RDKit_106,0.0007960240218540237
ECFP4_3,0.0007932813310251408
RDKit_66,0.0007919140126680477
RDKit_869,0.0007901349147692166
ECFP4_1019,0.000787311357177809
RDKit_1992,0.0007862919580686043
RDKit_483,0.0007852461932185463
RDKit_393,0.0007823191792905978
RDKit_1595,0.0007659230030224343
RDKit_1582,0.0007658884202726665
RDKit_1588,0.0007583715063858538
RDKit_1234,0.0007563045255016634
RDKit_1769,0.0007549684684915386
RDKit_1692,0.0007548982200752057
ECFP4_134,0.0007499595533177177
ECFP4_1676,0.0007467281006671713
RDKit_592,0.0007409687031962124
RDKit_1957,0.0007372810219734182
RDKit_1429,0.0007313866516126911
RDKit_1235,0.0007311233105971717
RDKit_252,0.0007152039333007984
MACCS_150,0.0007061018783384188
RDKit_914,0.0007029908903130423
RDKit_1180,0.0006966799937030161
RDKit_1188,0.0006965826490247025
RDKit_395,0.0006964926104875714
RDKit_1113,0.000690100643144857
RDKit_164,0.0006871551623066537
MACCS_19,0.0006856285076703039
RDKit_1596,0.0006845967029734995
RDKit_517,0.0006761610546006157
RDKit_1884,0.000652389983661772
ECFP4_1357,0.0006511582752656949
RDKit_1997,0.0006484855683433051
MACCS_91,0.0006402510319306659
ECFP4_188,0.0006335404301481185
RDKit_158,0.0006235315899886184
RDKit_1208,0.0006181856443062924
RDKit_590,0.0006124849239198646
RDKit_430,0.0006087873364600634
RDKit_1386,0.0006039386061280357
RDKit_223,0.0006024015899918246
RDKit_13,0.0005988998271371509
RDKit_1576,0.0005954649789891049
RDKit_323,0.0005910176149545767
RDKit_251,0.0005894969685304718
RDKit_659,0.0005886927221251178
RDKit_1776,0.000587724265563925
