Ligand_name,Status,Is_active,Best_affinity_kcal_mol,Label,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Runtime_s
CHEMBL5911561,SUCCESS,1,-5.903,active,C30H35FN6O+2,514.285,2.263,2.0,5.0,7.0,72.19,75.09
CHEMBL5999616,SUCCESS,1,-5.718,active,C28H34F2N6O2+2,524.27,1.297,3.0,6.0,7.0,92.42,73.43
CHEMBL5772356,SUCCESS,1,-6.32,active,C30H37FN8OS+2,576.278,2.144,3.0,8.0,8.0,111.1,94.39
CHEMBL5410069,SUCCESS,1,-6.544,active,C29H34ClF4N7O+2,607.244,2.898,3.0,6.0,7.0,98.21,114.61
CHEMBL5824370,SUCCESS,1,-6.391,active,C31H41FN6O+2,532.331,2.767,2.0,5.0,9.0,72.19,83.72
CHEMBL6034191,SUCCESS,1,-6.814,active,C33H37ClFN7O3+2,633.262,2.477,3.0,7.0,7.0,110.52,185.01
CHEMBL5891155,SUCCESS,1,-7.051,active,C30H36F2N8OS+2,594.269,2.092,3.0,8.0,8.0,111.1,105.45
CHEMBL5410609,SUCCESS,1,-5.771,active,C29H33ClF5N7O+2,625.234,2.846,3.0,6.0,7.0,98.21,122.49
CHEMBL5990291,SUCCESS,1,-6.343,active,C30H35FN6O+2,514.285,2.263,2.0,5.0,7.0,72.19,78.39
CHEMBL6040613,SUCCESS,1,-6.426,active,C29H35FN8OS+2,562.263,1.836,3.0,8.0,7.0,111.1,93.16
CHEMBL5871976,SUCCESS,1,-6.37,active,C30H36FN7O+2,529.295,1.827,2.0,5.0,6.0,77.12,81.34
CHEMBL5860569,SUCCESS,1,-4.889,active,C39H48FN7O4+2,697.374,2.888,2.0,8.0,9.0,110.96,304.45
CHEMBL5896634,SUCCESS,1,-8.74,active,C28H27FN7O2+,512.22,2.917,2.0,7.0,7.0,105.8,91.07
CHEMBL6037037,SUCCESS,1,-5.067,active,C34H39ClFN7O3+2,647.278,2.867,3.0,7.0,8.0,110.52,219.31
CHEMBL5941525,SUCCESS,1,-6.494,active,C34H39ClFN7O3+2,647.278,2.867,3.0,7.0,8.0,110.52,205.01
CHEMBL5949842,SUCCESS,1,-5.508,active,C29H30FN8O+,525.252,2.992,3.0,7.0,8.0,108.6,88.35
CHEMBL5991829,SUCCESS,1,-5.695,active,C37H37ClFN7O3+2,681.262,2.829,3.0,7.0,9.0,118.36,242.02
CHEMBL5975193,SUCCESS,1,-8.21,active,C29H28F2N7O+,528.232,3.393,1.0,6.0,7.0,85.57,107.22
CHEMBL6021311,SUCCESS,1,-6.325,active,C37H37ClFN7O3+2,681.262,2.829,3.0,7.0,9.0,118.36,249.85
CHEMBL5865092,SUCCESS,1,-7.262,active,C37H37ClFN7O3+2,681.262,2.829,3.0,7.0,9.0,118.36,251.95
CHEMBL5904363,SUCCESS,1,-5.901,active,C28H27FN7O2+,512.22,2.917,2.0,7.0,7.0,105.8,88.68
CHEMBL5822939,SUCCESS,1,-5.98,active,C32H36ClN5O2+2,557.255,2.843,2.0,5.0,7.0,68.53,115.22
CHEMBL5787315,SUCCESS,1,-5.791,active,C29H29FN7O2+,526.236,2.959,2.0,7.0,8.0,105.8,96.2
CHEMBL5805430,SUCCESS,1,-6.478,active,C31H34ClFN6O+2,560.246,3.142,2.0,5.0,5.0,72.19,92.87
CHEMBL6052717,SUCCESS,1,-6.503,active,C28H31F3N6O3+2,556.24,1.657,2.0,7.0,5.0,90.65,83.47
CHEMBL4857517,SUCCESS,1,-5.225,active,C33H44N6O3+2,572.346,1.195,3.0,7.0,9.0,92.0,131.42
