molecule_chembl_id,smiles,matched_to_active,tanimoto_similarity
CHEMBL19334,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@H](CC(C)C)NC(=O)SC1CCCC1)Cc1ccc(C)cc1,CHEMBL4867851,0.088
CHEMBL279272,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)SC1CCCC1)C(C)(C)C)Cc1ccccc1,CHEMBL4867851,0.088
CHEMBL19333,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@H](CC(C)C)NC(=O)SC1CCCC1)Cc1ccc(F)cc1,CHEMBL4867851,0.102
CHEMBL281565,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@H](CC(C)C)NC(=O)SC1CCCC1)Cc1ccccc1,CHEMBL4867851,0.088
CHEMBL279889,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)SCc1ccccc1)C(C)C)Cc1ccccc1,CHEMBL4867851,0.068
CHEMBL19986,CCCCCC(=O)CCCCCCCCCCCOCC(COP(=O)([O-])OC[C@H](C(=O)O)[N+](C)(C)C)OC,CHEMBL4867851,0.042
CHEMBL409059,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN(C)CC)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C,CHEMBL4858364,0.054
CHEMBL9248,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN2CCCC2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C,CHEMBL4858364,0.074
CHEMBL266373,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN(CC)CC)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C,CHEMBL4858364,0.054
CHEMBL9176,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCNC(C)(C)C)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C,CHEMBL4858364,0.06
CHEMBL265333,Cc1cccc(C)c1COC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,CHEMBL4858364,0.091
CHEMBL12413,CC(C)(C)NC(=O)[C@@H]1C[C@H](OCc2ccncc2)CCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,CHEMBL4858364,0.095
CHEMBL12906,Cc1cccc(C)c1CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,CHEMBL4858364,0.09
CHEMBL267571,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](Sc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,CHEMBL4858364,0.09
CHEMBL12886,CC(C)(C)NC(=O)[C@@H]1C[C@H](OCc2ccncc2)CCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)CSc1ccccc1,CHEMBL4858364,0.092
CHEMBL266856,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H](C/C=C/c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1Cl,CHEMBL4858364,0.073
CHEMBL13594,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H](CCCc3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)CCNC2=O)cc1Cl,CHEMBL4858364,0.067
CHEMBL274865,CC(C)(CC(=O)N[C@@H]1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C1=O)NC(=O)OC(C)(C)C,CHEMBL4858364,0.09
CHEMBL431101,COc1ccc(N(C(=O)CN2C(=O)C(NC(=O)Nc3cccc(C(=O)O)c3)N=C(c3ccccc3)c3ccccc32)C(C)C)cc1,CHEMBL4858364,0.092
