smiles,molecule_chembl_id,pIC50,n_stereocenters,undefined_stereo
CCCCCC1NC(=O)C2C[C@H](OCC(=O)O)CN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC(=O)C([C@@H](C)CC)NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC1=O,CHEMBL5198497,7.638272163982407,17,True
CCCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,CHEMBL5826328,5.96439233385011,2,True
CCCc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,CHEMBL5749495,6.527243550682788,2,True
CCN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,CHEMBL5785241,5.9673812391492795,3,True
CCNc1c(F)cccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,CHEMBL5989132,5.39383368539238,2,True
CCO[C@@H]1C[C@@H](COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)N(C)C1,CHEMBL5771492,6.174395506644396,4,True
CC[C@H](C)C1NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL4063829,7.008864383480216,20,True
CC[C@H](C)C1NC(=O)C(CC2CCCCC2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5173458,6.79317412396815,16,True
CC[C@H](C)C1NC(=O)C(CCc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5176360,5.857923538926715,16,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)C(=O)C(COC)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5206709,5.945770090136603,16,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5169881,8.154901959985743,16,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CC[C@@H](c3ccccc3)N2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5193444,7.026872146400302,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(CC2CCCCC2)NC(=O)C2C[C@H](OCC(=O)O)CN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5200054,7.6020599913279625,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(CCC#N)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5170078,7.619788758288394,16,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(CCCC(=O)O)NC(=O)C2[C@@H](C)CCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5185153,7.366531544420414,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(Cc2ccc(Cl)cc2)NC(=O)C2C[C@H](OCC(=O)O)CN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5185461,7.481486060122112,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2[C@@H](c3ccccc3)CCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5172805,9.0,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2[C@H]3CC[C@H](C3)N2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5204036,6.6968039425795105,18,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC2CCC2)NC(=O)C2[C@@H](c3ccccc3)CCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5171215,8.154901959985743,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(Cc2ccccc2)NC(=O)C2[C@@H](c3ccccc3)CCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5176621,7.698970004336019,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL4084139,5.747146969020107,20,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL4075048,7.242858976069812,20,True
