canonical_smiles,molecule_chembl_id,pIC50,standard_value,n_measurements,pIC50_range,kept_chembl_id,dropped_chembl_ids
CC(C)n1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,"['CHEMBL5815009', 'CHEMBL5815009']","[7.485452247339714, 5.258533238230245]","[32.7, 5514.0]",2,2.2269190091094684,CHEMBL5815009,['CHEMBL5815009']
CC(c1ccccc1)N1CCN(C(=O)c2csc3c(O)nc(-c4ccccn4)nc23)CC1,"['CHEMBL6051970', 'CHEMBL6051970', 'CHEMBL6051970', 'CHEMBL6051970']","[4.688246138944246, 4.688246138944246, 4.688246138944246, 4.688246138944246]","[20500.0, 20500.0, 20500.0, 20500.0]",4,0.0,CHEMBL6051970,"['CHEMBL6051970', 'CHEMBL6051970', 'CHEMBL6051970']"
CC1(C)CN2CCCC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)C1,"['CHEMBL5991570', 'CHEMBL5991570']","[7.05700040663396, 4.862709201477532]","[87.7, 13718.0]",2,2.1942912051564276,CHEMBL5991570,['CHEMBL5991570']
CC1(N)CN(c2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)C1,"['CHEMBL5971450', 'CHEMBL5971450']","[8.065501548756432, 4.9551859524713615]","[8.6, 11087.0]",2,3.11031559628507,CHEMBL5971450,['CHEMBL5971450']
CC1C(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)=Nc2ccccc21,"['CHEMBL6009459', 'CHEMBL6009459']","[6.3788237182249645, 5.017728766960431]","[418.0, 9600.0]",2,1.3610949512645334,CHEMBL6009459,['CHEMBL6009459']
CC1CCCc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@H]5CCCN5C)nc4c3F)c21,"['CHEMBL6029519', 'CHEMBL6029519']","[7.311580177997289, 5.688458041598805]","[48.8, 2049.0]",2,1.623122136398484,CHEMBL6029519,['CHEMBL6029519']
CC1CCc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@H]5CCCN5C)nc4c3F)c21,"['CHEMBL6041022', 'CHEMBL6041022']","[7.1944991418416, 4.892213615684047]","[63.9, 12817.0]",2,2.3022855261575534,CHEMBL6041022,['CHEMBL6041022']
CC1CCc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c21,"['CHEMBL5880902', 'CHEMBL5880902']","[7.732828271596986, 5.7705741520793055]","[18.5, 1696.0]",2,1.9622541195176808,CHEMBL5880902,['CHEMBL5880902']
CC1CN(c2ccccc2)CCN1C(=O)c1csc2c(O)nc(-c3ccccn3)nc12,"['CHEMBL5878920', 'CHEMBL5878920', 'CHEMBL5878920', 'CHEMBL5878920']","[5.1249387366083, 5.1249387366083, 5.1249387366083, 5.1249387366083]","[7500.0, 7500.0, 7500.0, 7500.0]",4,0.0,CHEMBL5878920,"['CHEMBL5878920', 'CHEMBL5878920', 'CHEMBL5878920']"
CCC1(N)CN(c2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)C1,"['CHEMBL5863452', 'CHEMBL5863452']","[8.00436480540245, 5.459545386328588]","[9.9, 3471.0]",2,2.5448194190738613,CHEMBL5863452,['CHEMBL5863452']
