molecule_chembl_id,smiles,pIC50,MaxEStateIndex,MinEStateIndex,qed,SPS,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Chi4n,Ipc,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA4,SlogP_VSA8,EState_VSA10,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticHeterocycles,NumAromaticRings,NumBridgeheadAtoms,NumHeterocycles,NumSaturatedCarbocycles,NumSpiroAtoms,RingCount,fr_Al_OH,fr_ArN,fr_Ar_N,fr_COO2,fr_NH0,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_carbamate,fr_alkyl_halide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ether,fr_halogen,fr_imidazole,fr_methoxy,fr_morpholine,fr_nitrile,fr_para_hydroxylation,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_term_acetylene,fr_thiazole,fr_thiophene,fr_unbrch_alkane
CHEMBL6019240,Cc1cccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,5.650566598146801,16.416594456512833,-0.569046366876002,0.31463984691602126,18.5,1.025,19.14225688651339,5.994634237773419,0.29536861255156266,3.304182968450395,1.3236076588915398,5.994766686130808,2397496962.4678164,22.778003323583654,5.817220841045895,0.0,6.010464839586836,4.39041504767482,9.967957041894417,0.0,30.33183534230805,54.30038157155406,55.245082722818694,11.993106178977714,27.49323613884568,24.59630450718855,77.99922401851039,23.017356159416195,10.208277825509848,11.759976672870742,0.0,12.740958040736519,32.93275284755611,5.106527394840706,41.87892372973167,47.96098397315222,0.0,24.52642128014937,43.321939610460284,25.16863389769843,9.720841474747257,22.44877252932853,0.0,15.5303497617946,6.212947717761308,3.873507085749912,0.0,0.2903225806451613,0,2,2,3,5,2,5,0,0,7,0,0,4,0,5,0,0,0,0,0,0,1,1,2,4,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
CHEMBL5814841,Cc1nccn1CCOc1nc(N2C[C@H]3C[C@@H](O)[C@@H](C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,5.718967108939831,16.433154466701993,-0.5675788401780466,0.32017199797760965,20.5,1.15,35.49569261505853,6.362764636582354,0.1625503018310514,3.47930627968413,1.3333153557434205,5.873138746062536,2365557306.5496683,29.459777952812594,5.817220841045895,0.0,6.010464839586836,9.374393568622029,9.967957041894417,0.0,41.932775232540564,24.79715010554304,53.69419337571546,24.076787837273635,39.09417602907819,24.59630450718855,71.65299177839604,17.26784432613229,10.208277825509848,6.010464839586836,11.600939890232516,12.740958040736519,32.93275284755611,5.106527394840706,47.84526263840188,16.596852926929518,0.0,18.460054211687762,48.019515761403106,25.16863389769843,21.32178136497977,24.37924373681401,6.554936865182221,11.300422909869534,5.458283838356577,3.896689507093374,0.0,0.3103448275862069,0,2,2,3,5,2,5,0,0,7,1,0,5,0,6,0,0,0,0,0,0,1,1,2,4,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CHEMBL5822939,Clc1cccc2cccc(-c3ccc4c(N5CC6CCC(C5)N6)nc(OCCCN5C[C@@H]6C[C@H]5CO6)nc4c3)c12,6.430626090384954,6.685569867432379,0.42818127613653567,0.31102362778806086,25.875,1.0,35.495692593283316,6.363174013211298,0.028719609969669446,3.6988336578469374,1.119707917778207,7.254889735340964,4495633016.288694,5.817862777835028,0.0,0.0,6.010464839586836,0.0,9.967957041894417,0.0,47.99914230100217,60.39551489494766,60.099629853765094,24.8344310343904,39.09417602907819,44.292699283526616,59.619936929895815,17.137367822980828,5.817862777835028,6.010464839586836,11.600939890232516,0.0,32.80227634440464,0.0,36.846835679291935,82.84950164707021,19.26246486877803,0.0,12.13273413692322,57.58117754493856,31.04262283972703,11.997492757320696,6.685569867432379,21.009546609414617,5.0046151182466225,5.473258427896656,0.0,0.4375,0,4,4,1,4,4,5,0,0,8,0,0,2,0,4,0,0,1,0,0,0,1,0,3,6,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CHEMBL5919294,Cn1cc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)cn1,5.640923773940737,16.403958636344548,-0.5150134450653028,0.32497252290983497,18.794871794871796,1.0769230769230769,35.49569255335972,6.362761687591832,0.2968065273468532,3.514258872195625,1.3284974598048007,5.838650164965589,1603348567.4268572,17.02849149029975,5.817220841045895,0.0,6.010464839586836,4.39041504767482,15.066638850195455,0.0,41.932775232540564,29.85768602047542,67.00768423885353,18.18994975059079,39.09417602907819,24.59630450718855,71.39203877209309,17.26784432613229,10.208277825509848,6.010464839586836,11.600939890232516,5.817220841045895,32.93275284755611,0.0,46.90155704347299,42.26705597830376,0.0,23.141857146832947,43.57635089659831,25.28333718505226,21.32178136497977,24.164329778552673,6.562723378141009,12.248846780787158,8.315970008280406,1.9325543489766068,1.8761976516953311,0.3103448275862069,0,2,2,3,5,2,5,0,0,7,0,0,5,0,6,0,0,0,0,0,0,1,1,2,4,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CHEMBL5874325,Cn1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)n1,5.300856312605516,16.402223099154465,-0.5173591240776483,0.32497252290983497,18.794871794871796,1.0769230769230769,35.495692553374305,6.3627612380748895,0.2952910635370474,3.514258872195625,1.328497459804801,5.820905418609441,1603348567.4268572,17.02849149029975,5.817220841045895,0.0,6.010464839586836,4.39041504767482,15.066638850195455,0.0,41.932775232540564,30.360601597240034,67.00768423885353,17.687034173826174,39.09417602907819,24.59630450718855,71.3920387720931,17.26784432613229,10.208277825509848,6.010464839586836,11.600939890232516,5.817220841045895,32.93275284755611,0.0,46.90155704347299,42.39753248145522,0.0,16.94501357521987,49.64271796505992,25.28333718505226,21.32178136497977,24.150372019140367,6.562065781769127,14.178405382566027,6.405585246255063,1.9065832745964415,1.8761976516953311,0.3103448275862069,0,2,2,3,5,2,5,0,0,7,0,0,5,0,6,0,0,0,0,0,0,1,1,2,4,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CHEMBL5944472,Cn1ccc(COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)n1,5.817585347565446,16.33742990485144,-0.5808374538086836,0.3660158890661486,18.94736842105263,1.0789473684210527,19.1422565462171,5.9945781960377635,0.27594739707034754,3.498247164004259,1.3738522345806268,5.654317003977069,965879069.4540147,29.384885288096577,5.817220841045895,0.0,6.010464839586836,4.39041504767482,15.066638850195455,0.0,24.26546827384644,41.81319288016644,50.17800508772142,11.080152209313257,27.49323613884568,17.98942254267563,66.36940545835178,23.017356159416195,10.208277825509848,11.759976672870742,0.0,5.817220841045895,32.93275284755611,5.106527394840706,28.851220142292743,42.39753248145522,6.06636706846161,16.94501357521987,43.57635089659831,25.28333718505226,9.720841474747257,23.967770925511793,0.0,13.379752655233943,5.677146778935268,1.6955029214011894,1.8351220817381046,0.2857142857142857,0,2,2,3,5,2,5,0,0,7,0,0,5,0,6,0,0,0,0,0,0,1,1,2,4,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
CHEMBL5871976,Cn1ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c21,6.447331783887806,16.51174237055934,-0.42191764823213185,0.41569239471356895,24.205128205128204,1.0769230769230769,19.142256809321243,5.973634487039469,0.10754263665572583,3.7118474761018514,1.2470013957430537,7.6920274809737395,2288231656.218759,23.635373454812672,5.817220841045895,0.0,6.010464839586836,4.39041504767482,9.967957041894417,0.0,18.19910120538483,57.68080961784281,55.5642293021862,16.4418501844644,27.623712641997137,37.6858173190137,42.476376258118485,17.26784432613229,10.208277825509848,6.010464839586836,0.0,5.817220841045895,33.06322935070757,0.0,29.770715832122097,74.14655131696742,12.841643245852019,6.196843571613076,42.077083475928056,20.100586586654494,14.704819995694464,24.909989699708753,0.0,9.081164161681457,10.734073982429395,4.486868408296736,1.9766301541084397,0.5,0,4,4,3,4,2,7,0,0,8,0,0,4,0,6,0,0,0,0,0,0,1,1,1,5,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
CHEMBL5975193,Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4ccc(F)cc34)c(F)c2n1,6.1438755557577,16.3283215918114,-0.5833621766607877,0.3502336919880446,18.794871794871796,1.0256410256410255,19.143596655683986,5.986210162572303,0.2931019532777244,3.5114537315546897,1.3279163713730244,5.807327555240379,1614048528.4808867,28.670116829345574,5.817220841045895,0.0,6.010464839586836,13.764808616296849,9.967957041894417,0.0,24.26546827384644,35.74682581170483,62.79567028226049,11.993106178977714,27.49323613884568,24.59630450718855,72.44757930570061,17.26784432613229,14.598692873184667,6.010464839586836,0.0,11.63444168209179,32.93275284755611,4.39041504767482,47.265147944196464,37.14178477014189,12.13273413692322,24.52642128014937,29.944349339004837,25.16863389769843,9.720841474747257,38.37457138238349,0.0,10.748366171663188,8.007051989770938,1.826738233274128,1.9253079755400697,0.3103448275862069,0,2,2,3,5,2,5,0,0,7,0,0,5,0,6,0,0,0,0,0,0,1,1,2,4,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CHEMBL5842562,Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,5.652902800492677,16.410143209347304,-0.5179376364743427,0.32497252290983497,18.794871794871796,1.0769230769230769,35.4956925533492,6.362760848540577,0.29310217790060916,3.513117790454734,1.3345690590677841,5.848493098305669,1648496066.511595,22.85289598829968,5.817220841045895,0.0,6.010464839586836,9.374393568622029,9.967957041894417,0.0,41.932775232540564,24.294234528778425,73.2045278104666,11.993106178977714,39.09417602907819,24.59630450718855,71.65299177839604,17.26784432613229,10.208277825509848,6.010464839586836,11.600939890232516,5.817220841045895,32.93275284755611,0.0,46.90155704347299,42.528008984606686,0.0,18.460054211687762,48.143450544389665,25.16863389769843,21.32178136497977,24.36118623303109,6.563201970040732,12.231519641692257,8.14560208558939,1.8991521451198579,1.9395819582813145,0.3103448275862069,0,2,2,3,5,2,5,0,0,7,0,0,5,0,6,0,0,0,0,0,0,1,1,2,4,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CHEMBL5774538,Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4ccccc34)c(F)c2n1,5.437469231137738,16.32151887072296,-0.4633697352397743,0.36598195243764486,18.94736842105263,1.0,19.142256117916677,5.985435773510333,0.29310222387386015,3.511684007116214,1.3208617425480678,5.787862552070331,1145981944.9652066,22.85289598829968,5.817220841045895,0.0,6.010464839586836,9.374393568622029,9.967957041894417,0.0,42.46456947923127,23.614091674781612,62.79567028226049,11.993106178977714,27.49323613884568,24.59630450718855,72.69672553311632,17.26784432613229,10.208277825509848,6.010464839586836,0.0,5.817220841045895,32.93275284755611,0.0,36.31547223803467,48.09146047630369,0.0,12.393687143226153,60.276184681312884,25.16863389769843,9.720841474747257,24.283356367649326,0.0,14.76197927654197,8.236439786802967,1.9538904371308772,1.9472639940585883,0.3103448275862069,0,2,2,3,5,2,5,0,0,7,0,0,5,0,6,0,0,0,0,0,0,1,1,2,4,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
