feature,importance
RDKit_1261,0.0
ECFP4_1725,0.0
RDKit_1918,0.0
MACCS_92,0.0
RDKit_1124,0.0
RDKit_749,0.0
RDKit_1160,0.0
RDKit_729,0.0
RDKit_1851,0.0
RDKit_1974,0.0
RDKit_1487,0.0
RDKit_316,0.0
RDKit_2029,0.0
ECFP4_248,0.0
RDKit_368,0.0
RDKit_902,0.0
RDKit_1324,0.0
RDKit_1644,0.0
ECFP4_989,0.0
RDKit_693,0.0
RDKit_1769,0.0
ECFP4_1609,0.0
RDKit_220,0.0
MACCS_123,0.0
RDKit_904,0.0
RDKit_1039,0.0
RDKit_16,0.0
RDKit_1983,0.0
RDKit_1378,0.0
RDKit_1905,0.0
RDKit_731,0.0
RDKit_1290,0.0
RDKit_990,0.0
RDKit_447,0.0
RDKit_913,0.0
RDKit_1434,0.0
RDKit_978,0.0
ECFP4_1440,0.0
RDKit_1978,0.0
RDKit_89,0.0
RDKit_287,0.0
RDKit_1619,0.0
RDKit_568,0.0
RDKit_10,0.0
RDKit_1789,0.0
RDKit_497,0.0
RDKit_1661,0.0
RDKit_1624,0.0
RDKit_531,0.0
ECFP4_231,0.0
ECFP4_1841,0.0
RDKit_1573,0.0
ECFP4_1953,0.0
RDKit_1081,0.0
RDKit_87,0.0
