Ligand_name,Label,Is_active,Status,Converged,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Best_affinity_kcal_mol,best_rmsd_lb,best_rmsd_ub,RF_Score_pKd,Runtime_s
CHEMBL104071,decoy,0,SUCCESS,True,C29H33Cl2N5O2+2,553.2,2.831,3,4,10,63.34,-6.648,-9.757,-1.3,7.868,300.18
CHEMBL101778,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL104373,decoy,0,SUCCESS,True,C27H25N3O5S,503.151,4.167,2,5,10,98.66,2.271,3.201,0.329,7.61,232.56
CHEMBL10445,decoy,0,SUCCESS,True,C22H28Cl2N3O4+,468.145,2.674,3,4,14,81.1,-5.612,-9.221,-1.377,7.561,219.92
CHEMBL100849,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL103131,decoy,0,SUCCESS,True,C25H27F4N2O6S+,559.152,3.527,4,6,16,121.7,-5.667,-9.974,-1.223,6.749,477.82
CHEMBL104620,decoy,0,SUCCESS,True,C27H22ClN5O3S,531.113,5.38,1,7,8,98.47,77.736,105.003,-0.453,7.658,162.77
CHEMBL103210,decoy,0,SUCCESS,True,C29H37N5O3S,535.262,5.012,1,6,17,103.34,-4.958,-8.581,-1.514,7.864,470.06
CHEMBL103257,decoy,0,SUCCESS,True,C29H35N5O4S,549.241,4.653,1,7,16,120.41,-3.529,-5.901,-1.241,6.386,453.99
CHEMBL103201,decoy,0,SUCCESS,True,C32H33N2O7-,557.229,3.82,0,9,18,112.06,-3.971,-6.989,-0.508,6.486,505.82
CHEMBL10456,decoy,0,SUCCESS,True,C33H39N4O6+,587.286,2.52,2,7,7,113.71,-4.129,-5.456,0.137,7.211,224.0
CHEMBL103295,decoy,0,SUCCESS,True,C29H35N5O4S,549.241,4.539,1,7,16,120.41,-4.666,-8.076,-1.836,7.892,473.33
CHEMBL103264,decoy,0,SUCCESS,True,C36H45ClN2O8,668.286,6.11,2,8,15,140.59,-1.332,-1.994,2.587,7.195,492.73
